planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
ayora,15,39,TK 039-010,PD,PD-137,2TTx56,72,5.8,6.003,2.384,55,55,0.018748,5.852089,0.023426,5.527458,1.875,335.3,2.343,316.7,-0.783,1.608,-1.704,PD-126-1,PD-137-1 (hermana)
ayora,13,81,TK 081-09,PD,PD-138,2TTx56,78,5.978,5.948,2.384,55,55,0.064222,0.15708,0.064222,0.15708,6.431,9,6.431,9,1.008,-1.008,-6.351,PD-138-0 (hermana),PD-138-1 (hermana)
ayora,10,69,TK 069-07,PD,PD-139,2TTx56,76,5.886,5.726,2.384,55,55,0.037283,0.666716,0.041456,5.497787,3.73,38.2,4.148,315,2.306,2.935,-2.931,PD-127-1,PD-153-0
ayora,15,38,TK 038-010,PD,PD-140,2TTx56,72,5.8,6.003,2.384,55,55,0.026624,5.948082,0.047185,5.274385,2.663,340.8,4.722,302.2,-0.875,3.996,-2.515,PD-129-1,PD-154-0
ayora,15,2,TK 002-010,PD,PD-141,2TTx56,72,5.8,6.003,2.384,55,55,0.023246,0.666716,0.018658,0.204204,2.325,38.2,1.866,11.7,1.438,-0.379,-1.827,PD-141-0 (hermana),PD-155-0
ayora,11,44,TK 044-07,PD,PD-142,2TTx28,76,5.886,5.726,2.384,55,55,0.034257,5.853834,0.034257,5.853834,3.427,335.4,3.427,335.4,-1.425,1.425,-3.117,PD-142-0 (hermana),PD-142-1 (hermana)
ayora,15,1,TK 001-010,PD,PD-143,2TTx56,72,5.8,6.003,2.384,55,55,0.027503,0.476475,0.024865,0.18326,2.751,27.3,2.487,10.5,1.26,-0.455,-2.445,PD-143-0 (hermana),PD-157-0
ayora,11,43,TK 043-07,PD,PD-144,2TTx28,76,5.886,5.726,2.384,55,55,0.040658,6.15054,0.044301,5.85558,4.068,352.4,4.433,335.5,-0.54,1.842,-4.032,PD-131-1,PD-144-1 (hermana)
ayora,11,12,TK 012-07,PD,PD-145,2TTx56,76,5.886,5.726,2.384,55,55,0.058134,5.993461,0.058134,5.993461,5.82,343.4,5.82,343.4,-1.66,1.66,-5.578,PD-145-0 (hermana),PD-145-1 (hermana)
ayora,11,11,TK 011-07,PD,PD-146,2TTx56,76,5.886,5.726,2.384,55,55,0.050337,0.047124,0.054107,5.904449,5.038,2.7,5.416,338.3,0.239,2.003,-5.032,PD-134-1,PD-160-0
ayora,12,40,TK 040-08,PD,PD-147,2TTx42,78,5.978,5.948,2.384,55,55,0.024005,0.961676,0.015699,0.506145,2.401,55.1,1.57,29,1.969,-0.761,-1.373,PD-147-0 (hermana),PD-161-0
ayora,11,10,TK 010-07,PD,PD-148,2TTx56,76,5.886,5.726,2.384,55,55,0.026504,0.401426,0.024405,0.022689,2.651,23,2.441,1.3,1.036,-0.056,-2.44,PD-134-1,PD-162-0
ayora,12,3,TK 003-08,PD,PD-149,2TTx56,78,5.978,5.948,2.384,55,55,0.018988,0.178024,0.018988,0.178024,1.899,10.2,1.899,10.2,0.336,-0.336,-1.869,PD-149-0 (hermana),PD-149-1 (hermana)
ayora,13,84,TK 084-09,PD,PD-150,2TTx56,80,5.828,6.056,2.384,55,55,0.061652,0.565487,0.054027,6.012659,6.173,32.4,5.408,344.5,3.308,1.441,-5.212,PD-138-1,PD-164-0
ayora,15,41,TK 041-010,PD,PD-151,2TTx56,74,5.99,6.004,2.384,55,55,0.020447,1.03149,0.020447,1.03149,2.045,59.1,2.045,59.1,1.756,-1.756,-1.049,PD-151-0 (hermana),PD-151-1 (hermana)
ayora,13,83,TK 083-09,PD,PD-152,2TTx42,80,5.828,6.056,2.384,55,55,0.061203,0.246091,0.061064,0.237365,6.128,14.1,6.114,13.6,1.493,-1.434,-5.943,PD-138-1,PD-152-1 (hermana)
ayora,10,70,TK 070-07,PD,PD-153,2TTx28,78,5.978,5.948,2.384,55,55,0.036194,0.518363,0.036194,0.518363,3.621,29.7,3.621,29.7,1.795,-1.795,-3.145,PD-153-0 (hermana),PD-153-1 (hermana)
