planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
sanjose,1,91,TR-01_1-091,SJ,TR-01_1-091,2TTx64,488,6.101,6.159,2.382,55,55,0.020787,5.522222,0.034966,5.157448,2.079,316.4,3.498,295.5,-1.435,3.158,-1.505,TR-01_1-090-E,TR-01_1-092-W
sanjose,1,92,TR-01_1-092,SJ,TR-01_1-092,2TTx64,490,6.167,6.219,2.382,55,55,0.033288,5.188864,0.020947,5.530948,3.33,297.3,2.095,316.9,-2.958,1.432,-1.53,TR-01_1-091-E,TR-01_1-093-W
sanjose,1,93,TR-01_1-093,SJ,TR-01_1-093,2TTx64,492,6.173,6.195,2.382,55,55,0.019268,5.344198,0.038191,5.014331,1.927,306.2,3.821,287.3,-1.555,3.648,-1.138,TR-01_1-092-E,TR-01_1-094-W
sanjose,1,94,TR-01_1-094,SJ,TR-01_1-094,2TTx64,494,6.198,6.237,2.382,55,55,0.03144,5.064945,0.055124,4.909611,3.145,290.2,5.518,281.3,-2.952,5.41,-1.085,TR-01_1-093-E,TR-01_1-095-W
sanjose,1,95,TR-01_1-095,SJ,TR-01_1-095,2TTx64,496,6.219,5.661,2.382,55,55,0.019657,5.314528,0.01116,0.08203,1.966,304.5,1.116,4.7,-1.621,-0.092,-1.112,TR-01_1-094-E,
sanjose,1,96,TR-01_1-096,SJ,TR-01_1-096,2TTx64,471,5.459,6.526,2.382,55,55,,,0.022986,5.190609,,,2.299,297.4,,2.041,-1.059,,TR-01_1-097-W
sanjose,1,97,TR-01_1-097,SJ,TR-01_1-097,2TTx64,472,6.526,6.178,2.382,55,55,0.018838,5.279621,0.032539,5.028294,1.884,302.5,3.255,288.1,-1.589,3.094,-1.013,TR-01_1-096-E,TR-01_1-098-W
sanjose,1,98,TR-01_1-098,SJ,TR-01_1-098,2TTx64,474,6.162,6.273,2.382,55,55,0.033727,4.946263,0.034257,4.942772,3.374,283.4,3.427,283.2,-3.282,3.336,-0.783,TR-01_1-097-E,TR-01_1-099-W
sanjose,1,99,TR-01_1-099,SJ,TR-01_1-099,2TTx64,476,6.102,6.068,2.382,55,55,0.034237,4.832817,0.01048,5.117305,3.425,276.9,1.048,293.2,-3.4,0.963,-0.412,TR-01_1-098-E,TR-01_1-100-W
sanjose,1,100,TR-01_1-100,SJ,TR-01_1-100,2TTx64,478,6.226,6.273,2.382,55,55,0.020857,5.342453,0.023835,5.253441,2.086,306.1,2.384,301,-1.685,2.043,-1.23,TR-01_1-099-E,TR-01_1-101-W
sanjose,1,101,TR-01_1-101,SJ,TR-01_1-101,2TTx64,480,6.097,6.281,2.382,55,55,0.028662,5.321509,0.034956,5.201081,2.867,304.9,3.497,298,-2.351,3.088,-1.641,TR-01_1-100-E,TR-01_1-102-W
