caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
A,12:00,58.3010,115.1015,0.0000,global,2,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,global,3,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,global,4,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,global,5,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,0,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,1,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,2,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,3,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,4,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,row,5,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,0,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,1,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,2,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,3,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,4,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,pairwise,5,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,true3d,0,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,true3d,1,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,true3d,2,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,true3d,3,29.216594,29.216594,0.000000,-5.440062,1,1
