bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 8,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 0,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 1,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 2,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 3,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 4,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 5,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 6,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 7,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,pareja 8,5.324703,5.300000,0.02470274,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,pareja 3,39.474544,39.450000,0.02454439,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 3,25.824334,25.800000,0.02433420,1
bt3dPairMaxMag,14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-dic,980,2.011,pareja 0,7.224136,7.200000,0.02413599,1
